"year","month","day","tmax","measurement.flag.7","quality.flag.7","source.flag.7","tmin","measurement.flag.8","quality.flag.8","source.flag.8"
2000,0,1,54,NA,NA,"W",33,NA,NA,"W"
2000,0,2,55,NA,NA,"W",31,NA,NA,"W"
2000,0,3,53,NA,NA,"W",28,NA,NA,"W"
2000,0,4,56,NA,NA,"W",28,NA,NA,"W"
2000,0,5,48,NA,NA,"W",32,NA,NA,"W"
2000,0,6,53,NA,NA,"W",25,NA,NA,"W"
2000,0,7,58,NA,NA,"W",28,NA,NA,"W"
2000,0,8,57,NA,NA,"W",28,NA,NA,"W"
2000,0,9,58,NA,NA,"W",32,NA,NA,"W"
2000,0,10,60,NA,NA,"W",31,NA,NA,"W"
2000,0,11,59,NA,NA,"W",35,NA,NA,"W"
2000,0,12,56,NA,NA,"W",41,NA,NA,"W"
2000,0,13,66,NA,NA,"W",36,NA,NA,"W"
2000,0,14,62,NA,NA,"W",36,NA,NA,"W"
2000,0,15,59,NA,NA,"W",48,NA,NA,"W"
2000,0,16,57,NA,NA,"W",50,NA,NA,"W"
2000,0,17,55,NA,NA,"W",48,NA,NA,"W"
2000,0,18,-9999,NA,NA,"W",-9999,NA,NA,"W"
2000,0,19,-9999,NA,NA,"W",-9999,NA,NA,"W"
2000,0,20,59,NA,NA,"W",49,NA,NA,"W"
2000,0,21,61,NA,NA,"W",40,NA,NA,"W"
2000,0,22,59,NA,NA,"W",38,NA,NA,"W"
2000,0,23,55,NA,NA,"W",50,NA,NA,"W"
2000,0,24,60,NA,NA,"W",55,NA,NA,"W"
2000,0,25,61,NA,NA,"W",51,NA,NA,"W"
2000,0,26,54,NA,NA,"W",47,NA,NA,"W"
2000,0,27,56,NA,NA,"W",40,NA,NA,"W"
2000,0,28,56,NA,NA,"W",39,NA,NA,"W"
2000,0,29,59,NA,NA,"W",36,NA,NA,"W"
2000,0,30,53,NA,NA,"W",44,NA,NA,"W"
2000,0,31,57,NA,NA,"W",44,NA,NA,"W"
2000,1,1,61,NA,NA,"W",40,NA,NA,"W"
2000,1,2,63,NA,NA,"W",37,NA,NA,"W"
2000,1,3,72,NA,NA,"W",42,NA,NA,"W"
2000,1,4,60,NA,NA,"W",48,NA,NA,"W"
2000,1,5,65,NA,NA,"W",43,NA,NA,"W"
2000,1,6,66,NA,NA,"W",40,NA,NA,"W"
2000,1,7,67,NA,NA,"W",41,NA,NA,"W"
2000,1,8,68,NA,NA,"W",46,NA,NA,"W"
2000,1,9,65,NA,NA,"W",46,NA,NA,"W"
2000,1,10,60,NA,NA,"W",47,NA,NA,"W"
2000,1,11,56,NA,NA,"W",44,NA,NA,"W"
2000,1,12,57,NA,NA,"W",43,NA,NA,"W"
2000,1,13,57,NA,NA,"W",50,NA,NA,"W"
2000,1,14,62,NA,NA,"W",43,NA,NA,"W"
2000,1,15,60,NA,NA,"W",37,NA,NA,"W"
2000,1,16,52,NA,NA,"W",46,NA,NA,"W"
2000,1,17,57,NA,NA,"W",43,NA,NA,"W"
2000,1,18,61,NA,NA,"W",38,NA,NA,"W"
2000,1,19,61,NA,NA,"W",39,NA,NA,"W"
2000,1,20,67,NA,NA,"W",48,NA,NA,"W"
2000,1,21,63,NA,NA,"W",46,NA,NA,"W"
2000,1,22,58,NA,NA,"W",45,NA,NA,"W"
2000,1,23,55,NA,NA,"W",39,NA,NA,"W"
2000,1,24,51,NA,NA,"W",34,NA,NA,"W"
2000,1,25,58,NA,NA,"W",40,NA,NA,"W"
2000,1,26,65,NA,NA,"W",48,NA,NA,"W"
2000,1,27,57,NA,NA,"W",45,NA,NA,"W"
2000,1,28,57,NA,NA,"W",44,NA,NA,"W"
2000,1,29,55,NA,NA,"W",41,NA,NA,"W"
2000,2,1,60,NA,NA,"W",37,NA,NA,"W"
2000,2,2,52,NA,NA,"W",40,NA,NA,"W"
2000,2,3,63,NA,NA,"W",43,NA,NA,"W"
2000,2,4,63,NA,NA,"W",41,NA,NA,"W"
2000,2,5,54,NA,NA,"W",44,NA,NA,"W"
2000,2,6,56,NA,NA,"W",41,NA,NA,"W"
2000,2,7,56,NA,NA,"W",39,NA,NA,"W"
2000,2,8,56,NA,NA,"W",45,NA,NA,"W"
2000,2,9,60,NA,NA,"W",43,NA,NA,"W"
2000,2,10,63,NA,NA,"W",36,NA,NA,"W"
2000,2,11,66,NA,NA,"W",42,NA,NA,"W"
2000,2,12,66,NA,NA,"W",40,NA,NA,"W"
2000,2,13,70,NA,NA,"W",42,NA,NA,"W"
2000,2,14,72,NA,NA,"W",45,NA,NA,"W"
2000,2,15,71,NA,NA,"W",41,NA,NA,"W"
2000,2,16,71,NA,NA,"W",44,NA,NA,"W"
2000,2,17,69,NA,NA,"W",44,NA,NA,"W"
2000,2,18,73,NA,NA,"W",40,NA,NA,"W"
2000,2,19,70,NA,NA,"W",46,NA,NA,"W"
2000,2,20,65,NA,NA,"W",44,NA,NA,"W"
2000,2,21,68,NA,NA,"W",33,NA,NA,"W"
2000,2,22,74,NA,NA,"W",43,NA,NA,"W"
2000,2,23,73,NA,NA,"W",47,NA,NA,"W"
2000,2,24,69,NA,NA,"W",44,NA,NA,"W"
2000,2,25,70,NA,NA,"W",44,NA,NA,"W"
2000,2,26,71,NA,NA,"W",41,NA,NA,"W"
2000,2,27,63,NA,NA,"W",46,NA,NA,"W"
2000,2,28,63,NA,NA,"W",40,NA,NA,"W"
2000,2,29,67,NA,NA,"W",42,NA,NA,"W"
2000,2,30,74,NA,NA,"W",43,NA,NA,"W"
2000,2,31,80,NA,NA,"W",42,NA,NA,"W"
2000,3,1,79,NA,NA,"W",39,NA,NA,"W"
2000,3,2,84,NA,NA,"W",44,NA,NA,"W"
2000,3,3,87,NA,NA,"W",48,NA,NA,"W"
2000,3,4,80,NA,NA,"W",50,NA,NA,"W"
2000,3,5,78,NA,NA,"W",44,NA,NA,"W"
2000,3,6,79,NA,NA,"W",45,NA,NA,"W"
2000,3,7,80,NA,NA,"W",38,NA,NA,"W"
2000,3,8,76,NA,NA,"W",45,NA,NA,"W"
2000,3,9,73,NA,NA,"W",42,NA,NA,"W"
2000,3,10,76,NA,NA,"W",43,NA,NA,"W"
2000,3,11,83,NA,NA,"W",49,NA,NA,"W"
2000,3,12,87,NA,NA,"W",56,NA,NA,"W"
2000,3,13,71,NA,NA,"W",51,NA,NA,"W"
2000,3,14,70,NA,NA,"W",48,NA,NA,"W"
2000,3,15,68,NA,NA,"W",46,NA,NA,"W"
2000,3,16,64,NA,NA,"W",53,NA,NA,"W"
2000,3,17,57,NA,NA,"W",46,NA,NA,"W"
2000,3,18,65,NA,NA,"W",39,NA,NA,"W"
2000,3,19,68,NA,NA,"W",42,NA,NA,"W"
2000,3,20,73,NA,NA,"W",48,NA,NA,"W"
2000,3,21,77,NA,NA,"W",51,NA,NA,"W"
2000,3,22,69,NA,NA,"W",47,NA,NA,"W"
2000,3,23,68,NA,NA,"W",40,NA,NA,"W"
2000,3,24,74,NA,NA,"W",46,NA,NA,"W"
2000,3,25,77,NA,NA,"W",46,NA,NA,"W"
2000,3,26,82,NA,NA,"W",48,NA,NA,"W"
2000,3,27,79,NA,NA,"W",50,NA,NA,"W"
2000,3,28,66,NA,NA,"W",47,NA,NA,"W"
2000,3,29,74,NA,NA,"W",41,NA,NA,"W"
2000,3,30,81,NA,NA,"W",43,NA,NA,"W"
2000,4,1,-9999,NA,NA," ",-9999,NA,NA,"W"
2000,4,2,83,NA,NA,"W",57,NA,NA,"W"
2000,4,3,84,NA,NA,"W",52,NA,NA,"W"
2000,4,4,81,NA,NA,"W",51,NA,NA,"W"
2000,4,5,76,NA,NA,"W",51,NA,NA,"W"
2000,4,6,75,NA,NA,"W",45,NA,NA,"W"
2000,4,7,68,NA,NA,"W",50,NA,NA,"W"
2000,4,8,77,NA,NA,"W",57,NA,NA,"W"
2000,4,9,76,NA,NA,"W",52,NA,NA,"W"
2000,4,10,68,NA,NA,"W",48,NA,NA,"W"
2000,4,11,70,NA,NA,"W",45,NA,NA,"W"
2000,4,12,76,NA,NA,"W",40,NA,NA,"W"
2000,4,13,80,NA,NA,"W",48,NA,NA,"W"
2000,4,14,76,NA,NA,"W",48,NA,NA,"W"
2000,4,15,70,NA,NA,"W",51,NA,NA,"W"
2000,4,16,65,NA,NA,"W",50,NA,NA,"W"
2000,4,17,73,NA,NA,"W",50,NA,NA,"W"
2000,4,18,83,NA,NA,"W",51,NA,NA,"W"
2000,4,19,89,NA,NA,"W",57,NA,NA,"W"
2000,4,20,94,NA,NA,"W",59,NA,NA,"W"
2000,4,21,98,NA,NA,"W",60,NA,NA,"W"
2000,4,22,100,NA,NA,"W",61,NA,NA,"W"
2000,4,23,92,NA,NA,"W",66,NA,NA,"W"
2000,4,24,89,NA,NA,"W",61,NA,NA,"W"
2000,4,25,82,NA,NA,"W",56,NA,NA,"W"
2000,4,26,88,NA,NA,"W",58,NA,NA,"W"
2000,4,27,91,NA,NA,"W",56,NA,NA,"W"
2000,4,28,92,NA,NA,"W",55,NA,NA,"W"
2000,4,29,87,NA,NA,"W",57,NA,NA,"W"
2000,4,30,83,NA,NA,"W",48,NA,NA,"W"
2000,4,31,83,NA,NA,"W",54,NA,NA,"W"
2000,5,1,90,NA,NA,"W",49,NA,NA,"W"
2000,5,2,92,NA,NA,"W",55,NA,NA,"W"
2000,5,3,92,NA,NA,"W",54,NA,NA,"W"
2000,5,4,98,NA,NA,"W",56,NA,NA,"W"
2000,5,5,83,NA,NA,"W",53,NA,NA,"W"
2000,5,6,87,NA,NA,"W",54,NA,NA,"W"
2000,5,7,-9999,NA,NA," ",-9999,NA,NA,"W"
2000,5,8,68,NA,NA,"W",54,NA,NA,"W"
2000,5,9,78,NA,NA,"W",51,NA,NA,"W"
2000,5,10,80,NA,NA,"W",52,NA,NA,"W"
2000,5,11,85,NA,NA,"W",51,NA,NA,"W"
